gisco_id,name,registered,turnout,invalid,blank,Lietuvos valstiečių ir žaliųjų sąjunga,„Drąsos kelias“ politinė partija,Lietuvos socialdemokratų partija,Lietuvos lenkų rinkimų akcija - Krikščioniškų šeimų sąjunga,Lietuvos Respublikos liberalų sąjūdis,Lietuvos žaliųjų partija,Tėvynės sąjunga – Lietuvos krikščionys demokratai,Lietuvos socialdemokratų darbo partija,Laisvės partija,Centro partija - tautininkai,KARTŲ SOLIDARUMO SĄJUNGA - SANTALKA LIETUVAI,Nacionalinis susivienijimas,Krikščionių sąjunga,Partija LIETUVA – VISŲ,Lietuvos liaudies partija,Darbo partija,Partija „Laisvė ir teisingumas“
LT_47,Joniškio rajono savivaldybė,36590,16456,750,0,4796,166,2331,34,1355,272,2049,581,956,426,84,191,91,157,47,2015,155
LT_33,Alytaus rajono savivaldybė,70069,31770,1548,0,6716,348,3530,84,1612,431,8004,1214,2359,646,121,733,196,506,90,2778,854
LT_LTZZIE,Ireland,2662,2237,58,0,20,12,15,2,17,7,51,8,36,4,3,6,1,12,1,19,3
LT_LTZZAM,Armenia,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZAT,Austria,367,320,2,0,1,0,3,0,2,2,16,1,9,0,0,2,0,0,0,0,0
LT_LTZZAZ,Azerbaijan,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZBY,Belarus,83,73,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
LT_LTZZBE,Belgium,1651,1481,14,0,7,0,13,0,19,5,67,2,26,0,0,2,3,0,0,0,0
LT_LTZZDK,Denmark,2132,1768,15,0,20,12,44,1,47,13,230,12,281,8,3,15,3,14,2,23,8
LT_LTZZEG,Egypt,23,18,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
LT_LTZZEE,Estonia,185,167,1,0,3,0,1,0,1,1,8,0,5,0,0,1,0,0,0,0,0
LT_LTZZGR,Greece,221,166,2,0,1,1,4,0,9,2,24,0,22,1,0,0,0,1,0,0,2
LT_LTZZGE,Georgia,72,65,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
LT_LTZZIN,India,12,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LT_LTZZES,Spain,1108,862,14,0,0,1,9,0,10,4,71,2,55,1,2,2,0,1,2,3,5
LT_LTZZIT,Italy,615,503,7,0,5,2,12,0,9,2,47,2,48,0,2,4,0,2,0,1,0
LT_LTZZIL,Israel,84,65,0,0,1,0,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0
LT_LTZZJP,Japan,563,454,0,0,12,9,15,0,29,6,136,18,105,1,5,6,4,5,0,2,0
LT_LTZZAE,United Arab Emirates,130,56,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0
LT_LTZZGB,United Kingdom,14738,12215,195,0,51,32,85,3,65,32,307,26,307,27,3,37,8,21,1,67,20
LT_LTZZUS,United States,4103,3174,62,0,44,18,53,4,64,17,330,21,135,6,4,42,10,19,3,18,13
LT_LTZZCA,Canada,378,346,9,0,2,0,3,0,4,1,27,5,17,0,0,1,1,1,1,1,1
LT_LTZZKZ,Kazakhstan,44,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZCN,China,53,45,1,0,1,0,0,0,3,0,7,0,8,0,0,0,0,0,0,0,0
LT_LTZZHR,Croatia,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZLV,Latvia,229,196,3,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0
LT_LTZZPL,Poland,343,306,6,0,2,0,1,7,4,1,7,1,7,0,0,0,0,0,0,0,1
LT_LTZZMD,Moldova,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZNO,Norway,4001,3380,70,0,62,25,43,4,43,5,221,13,164,16,5,16,6,24,2,42,9
LT_LTZZNL,Netherlands,1633,1327,28,0,4,0,9,0,10,5,36,2,50,1,0,2,1,1,1,1,0
LT_LTZZZA,South Africa,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZFR,France,797,679,5,0,0,1,4,0,1,3,33,0,16,1,0,0,0,3,0,1,0
LT_LTZZRO,Romania,52,47,0,0,0,1,0,0,9,0,12,0,3,0,2,1,0,0,0,0,1
LT_LTZZRU,Russia,439,368,5,0,3,0,0,0,1,0,5,2,1,0,1,1,0,4,0,5,0
LT_LTZZFI,Finland,302,267,7,0,5,2,1,0,2,2,18,1,11,0,1,1,1,1,0,0,0
LT_LTZZTR,Turkey,83,71,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
LT_LTZZUA,Ukraine,160,134,3,0,2,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0
LT_LTZZHU,Hungary,57,52,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LT_LTZZDE,Germany,3479,3035,46,0,41,32,49,6,55,35,275,24,190,11,7,26,1,17,1,44,15
LT_LTZZCZ,Czech Republic,115,102,1,0,2,0,0,1,1,0,7,1,4,0,0,1,0,0,0,1,1
LT_LTZZSE,Sweden,1537,1357,27,0,8,2,22,1,18,5,57,9,48,3,0,3,2,4,0,7,1
LT_0934,Alnykščių,21828,10612,386,0,2407,122,1283,26,686,125,2280,757,583,207,42,161,122,56,26,1235,108
LT_12,Birštono savivaldybė,3821,2160,82,0,273,19,442,10,106,19,423,366,135,52,10,45,8,17,2,89,62
LT_36,Biržų rajono savivaldybė,21963,10254,461,0,1953,112,1291,22,658,135,1862,821,540,352,43,257,81,102,21,1432,111
LT_15,Druskininkų savivaldybė,17702,8462,404,0,2135,90,917,74,347,126,2000,341,724,141,39,191,27,128,15,635,128
LT_42,Elektrėnų savivaldybė,19997,9023,310,0,1681,67,642,137,1113,120,1651,333,1177,207,25,167,72,77,31,1111,102
LT_LTZZBR,Brazil,119,69,7,0,1,0,1,0,1,0,4,1,6,0,0,0,0,0,0,0,1
LT_45,Ignalinos rajono savivaldybė,13794,6742,260,0,1844,52,1080,148,213,112,1022,248,365,165,34,148,33,39,18,733,228
LT_46,Jonavos rajono savivaldybė,35598,14776,517,0,2668,185,2375,107,732,248,2696,1161,1061,335,67,239,62,147,36,2006,134
LT_94,Jurbarko rajono savivaldybė,23120,9988,422,0,1855,124,906,23,1271,95,2174,536,597,248,60,131,70,108,42,1073,253
LT_49,Kaišiadorių rajono savivaldybė,25745,11922,493,0,2433,127,1118,47,697,489,2240,563,1251,330,47,285,208,117,34,1323,120
LT_48,Kalvarijos savivaldybė,8776,3808,192,0,903,50,503,8,210,48,625,169,263,101,13,48,29,52,6,558,30
LT_53,Kėdainių rajono savivaldybė,370600,184580,6538,0,31185,3476,16876,665,14508,3534,54984,4593,16118,3604,1285,4985,1621,1738,507,16706,1657
LT_58,Kazlų Rūdos savivaldybė,9615,4071,224,0,834,69,475,8,318,74,879,160,283,107,23,49,47,32,12,441,36
LT_54,Kelmės rajono savivaldybė,24084,10137,386,0,2749,88,1163,20,762,246,1328,280,441,240,56,106,58,82,27,1157,948
LT_21,Klaipėdos miesto savivaldybė,126100,54202,1904,0,8604,686,3366,4239,5239,878,13357,1137,4618,2172,332,1024,327,655,127,4936,601
LT_55,Klaipėdos rajono savivaldybė,48508,22058,875,0,4238,282,2017,193,2230,471,5118,556,1886,715,177,428,151,245,85,2073,318
LT_LTZZCH,Switzerland,830,750,11,0,1,0,3,0,4,0,28,3,18,0,0,1,1,2,0,0,2
LT_56,Kretingos rajono savivaldybė,32354,14616,617,0,3240,138,1487,24,872,259,3255,468,955,471,65,208,307,166,35,1880,169
LT_57,Kupiškio rajono savivaldybė,15056,6897,280,0,1738,54,885,18,376,92,1404,261,374,205,29,106,69,59,25,847,75
LT_59,Lazdijų rajono savivaldybė,16982,7820,404,0,2034,73,950,19,357,128,1668,263,389,175,28,74,109,127,33,865,124
LT_18,Marijampolės savivaldybė,47639,21821,861,0,4740,255,3565,29,940,321,4615,746,1565,622,69,456,369,284,50,2170,164
LT_61,Mažeikių rajono savivaldybė,60438,25196,1111,0,7437,339,2409,90,1113,336,3953,708,1688,991,189,406,160,378,83,3009,796
LT_62,Molėtų rajono savivaldybė,16152,7573,313,0,1378,55,640,37,288,194,1880,337,522,202,39,179,64,53,24,1159,209
LT_23,Neringos savivaldybė,4408,2439,68,0,214,20,459,12,344,35,733,69,239,18,24,62,13,13,9,80,27
LT_63,Pagėgių savivaldybė,7175,3266,185,0,699,25,460,11,749,29,341,83,131,50,15,18,11,23,14,380,42
LT_65,Pakruojo rajono savivaldybė,16842,7617,327,0,1856,64,1383,21,434,94,1023,328,367,216,40,128,44,72,22,934,264
LT_25,Palangos miesto savivaldybė,14825,7519,233,0,1282,129,607,39,568,158,2291,196,654,206,45,182,83,72,13,628,133
LT_27,Panevėžio miesto savivaldybė,77582,36072,1298,0,7051,389,3239,137,2439,703,9954,1101,2947,987,190,941,286,407,67,3497,439
LT_66,Panevėžio rajono savivaldybė,32129,15004,486,0,3458,164,1546,33,828,256,3280,554,1041,505,66,214,133,213,48,2009,170
LT_67,Pasvalio rajono savivaldybė,21117,10043,395,0,2054,75,763,23,267,124,2681,522,557,379,28,295,86,92,33,1564,105
LT_68,Plungės rajono savivaldybė,29681,12918,519,0,3207,201,932,21,1659,180,2602,308,819,375,75,176,99,140,34,1298,273
LT_69,Prienų rajono savivaldybė,23144,10686,437,0,1821,172,1788,39,344,137,1871,1304,552,228,48,147,93,74,53,862,716
LT_71,Radviliškio rajono savivaldybė,30947,13492,571,0,3251,127,1344,55,512,164,3065,372,661,626,108,228,94,138,37,1975,164
LT_72,Raseinių rajono savivaldybė,27985,11607,496,0,2616,126,1881,26,324,261,2060,497,760,331,48,165,153,98,40,1629,96
LT_74,Rietavo savivaldybė,6646,2988,125,0,632,39,235,7,343,41,576,112,191,66,17,36,17,34,11,389,117
LT_73,Rokiškio rajono savivaldybė,26340,12698,566,0,2196,132,2052,58,803,144,2405,552,836,367,60,259,111,142,41,1594,380
LT_77,Tauragės rajono savivaldybė,34452,14756,744,0,3079,151,2334,22,2049,158,2664,509,767,349,69,170,151,128,39,1125,248
LT_78,Telšių rajono savivaldybė,35997,15177,679,0,3406,167,1640,23,656,203,2445,445,945,865,45,362,116,119,35,2675,351
LT_79,Trakų rajono savivaldybė,27760,12469,481,0,1609,86,1034,2020,1769,133,1891,367,859,178,27,178,60,99,24,1453,201
LT_81,Ukmergės rajono savivaldybė,30478,13872,511,0,3098,134,1258,49,513,216,3004,449,799,1250,59,294,65,72,44,1876,181
LT_82,Utenos rajono savivaldybė,33924,16530,588,0,3065,156,2499,42,869,346,4324,484,1165,354,87,336,103,110,38,1832,132
LT_38,Varėnos rajono savivaldybė,19503,9320,470,0,1598,94,861,62,1361,112,1770,297,637,214,36,362,61,77,29,806,473
LT_39,Vilkaviškio rajono savivaldybė,32120,14344,713,0,3251,181,2264,40,614,1141,2191,546,819,379,57,174,135,133,48,1554,104
LT_41,Vilniaus rajono savivaldybė,523275,270304,5892,0,26327,1559,17431,35175,16681,3414,86488,4879,36030,2682,1000,7147,1552,1674,422,17177,4774
LT_30,Visagino savivaldybė,16660,5049,193,0,1635,24,241,829,92,119,375,98,189,111,22,20,12,30,11,525,523
LT_43,Zarasų rajono savivaldybė,14078,6061,236,0,1510,49,559,217,417,85,948,234,370,125,25,66,23,48,21,1019,109
LT_84,Šakių rajono savivaldybė,24535,10772,501,0,2339,114,1429,24,382,162,2589,391,704,261,50,135,91,112,34,1357,97
LT_85,Šalčininkų rajono savivaldybė,26558,13617,594,0,494,37,340,8999,85,48,368,162,278,73,26,37,73,69,20,1852,62
LT_29,Šiaulių miesto savivaldybė,83785,39214,1495,0,10111,479,3372,177,3528,662,8109,1038,3101,1236,220,777,361,578,74,3510,386
LT_91,Šiaulių rajono savivaldybė,36247,16080,599,0,5446,192,1288,25,1116,243,2497,451,1078,512,66,242,110,207,59,1826,123
LT_87,Šilalės rajono savivaldybė,19912,9067,475,0,1456,56,618,12,213,81,2444,219,400,143,23,77,40,44,14,666,2086
LT_88,Šilutės rajono savivaldybė,35046,14555,760,0,3434,162,1297,43,835,192,2960,1017,899,344,53,182,112,167,99,1412,587
LT_89,Širvintų rajono savivaldybė,13646,6635,262,0,978,40,463,226,217,55,1001,1999,404,115,42,138,32,45,14,556,48
LT_86,Švenčionių rajono savivaldybė,20891,9628,483,0,1575,95,711,1627,193,115,918,176,448,128,35,99,26,86,33,852,2028
